JobID,Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords,combined_job_profile
NET-E-019,net developer,Experienced,0.0,c net core asp net mvc testing with xunit moq azure,implement automated unit tests use moq for dependency testing develop scalable apps in net core lead code review sessions optimize app performance,net core c asp net mvc xunit moq azure,c net core asp net mvc testing with xunit moq azure net core c asp net mvc xunit moq azure implement automated unit tests use moq for dependency testing develop scalable apps in net core lead code review sessions optimize app performance net developer
NET-E-020,net developer,Experienced,0.0,c net core asp net mvc ci cd azure devops docker kubernetes rest apis,lead ci cd setup in azure devops deploy services with docker kubernetes architect scalable net applications coordinate with cross functional teams mentor juniors,net core c asp net mvc ci cd azure devops docker kubernetes rest apis,c net core asp net mvc ci cd azure devops docker kubernetes rest apis net core c asp net mvc ci cd azure devops docker kubernetes rest apis lead ci cd setup in azure devops deploy services with docker kubernetes architect scalable net applications coordinate with cross functional teams mentor juniors net developer
AI001,ai engineer fresher,Entry-Level,0.0,python java c r supervised unsupervised learning regression classification clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb nosql,assist in developing ai models preprocess data implement basic ml algorithms participate in hackathons and academic projects,ai ml fresher entry level python deep learning tensorflow pytorch,python java c r supervised unsupervised learning regression classification clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb nosql ai ml fresher entry level python deep learning tensorflow pytorch assist in developing ai models preprocess data implement basic ml algorithms participate in hackathons and academic projects ai engineer fresher
AI002,ai engineer fresher,Entry-Level,0.0,python java c r classification regression clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb,build simple ai models preprocess datasets implement basic ml pipelines work collaboratively on projects,ai ml fresher entry level python tensorflow pytorch,python java c r classification regression clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb ai ml fresher entry level python tensorflow pytorch build simple ai models preprocess datasets implement basic ml pipelines work collaboratively on projects ai engineer fresher
AI003,ai engineer fresher,Entry-Level,0.0,python java c r supervised unsupervised learning regression classification clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb,support ai development create and test ml models perform data preprocessing and feature engineering collaborate with mentors,ai ml fresher entry level python deep learning tensorflow pytorch,python java c r supervised unsupervised learning regression classification clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb ai ml fresher entry level python deep learning tensorflow pytorch support ai development create and test ml models perform data preprocessing and feature engineering collaborate with mentors ai engineer fresher
AI004,ai engineer fresher,Entry-Level,0.0,python java c r classification regression clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb,implement basic ai ml models assist with data preprocessing and visualization participate in small projects or hackathons,ai ml fresher entry level python tensorflow pytorch,python java c r classification regression clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb ai ml fresher entry level python tensorflow pytorch implement basic ai ml models assist with data preprocessing and visualization participate in small projects or hackathons ai engineer fresher
AI005,ai engineer fresher,Entry-Level,0.0,python java c r supervised unsupervised learning regression classification clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb,assist in ai model development data cleaning implement basic neural networks collaborate on academic or hackathon projects,ai ml fresher entry level python tensorflow deep learning,python java c r supervised unsupervised learning regression classification clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb ai ml fresher entry level python tensorflow deep learning assist in ai model development data cleaning implement basic neural networks collaborate on academic or hackathon projects ai engineer fresher
AI006,ai engineer fresher,Entry-Level,0.0,python java c r classification regression clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb,build and train basic ai models preprocess datasets implement feature engineering techniques collaborate in small teams,ai ml fresher entry level python tensorflow pytorch,python java c r classification regression clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb ai ml fresher entry level python tensorflow pytorch build and train basic ai models preprocess datasets implement feature engineering techniques collaborate in small teams ai engineer fresher
AI007,ai engineer fresher,Entry-Level,0.0,python java c r supervised unsupervised learning regression classification clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb,assist in developing ai pipelines train basic ml dl models preprocess data participate in hackathons or academic projects,ai ml fresher entry level python tensorflow deep learning,python java c r supervised unsupervised learning regression classification clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb ai ml fresher entry level python tensorflow deep learning assist in developing ai pipelines train basic ml dl models preprocess data participate in hackathons or academic projects ai engineer fresher
AI008,ai engineer fresher,Entry-Level,0.0,python java c r classification regression clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb,implement and test ml ai models clean and preprocess data contribute to academic hobby or hackathon projects,ai ml fresher entry level python tensorflow pytorch,python java c r classification regression clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb ai ml fresher entry level python tensorflow pytorch implement and test ml ai models clean and preprocess data contribute to academic hobby or hackathon projects ai engineer fresher
AI009,ai engineer fresher,Entry-Level,0.0,python java c r supervised unsupervised learning regression classification clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb,support development of ai projects preprocess datasets build basic ml dl models participate in collaborative projects and hackathons,ai ml fresher entry level python tensorflow deep learning,python java c r supervised unsupervised learning regression classification clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb ai ml fresher entry level python tensorflow deep learning support development of ai projects preprocess datasets build basic ml dl models participate in collaborative projects and hackathons ai engineer fresher
AI010,ai engineer experienced,Mid-Senior Level,0.0,python java c r deep learning reinforcement learning nlp computer vision generative ai llms tensorflow pytorch scikit learn hugging face transformers onnx aws gcp azure ci cd mlops apache spark hadoop docker kubernetes model monitoring shap lime,architect and deploy scalable ai models optimize deep learning and nlp pipelines integrate ai solutions with cloud platforms lead ai projects,ai ml mid senior level deep learning nlp cloud mlops tensorflow pytorch,python java c r deep learning reinforcement learning nlp computer vision generative ai llms tensorflow pytorch scikit learn hugging face transformers onnx aws gcp azure ci cd mlops apache spark hadoop docker kubernetes model monitoring shap lime ai ml mid senior level deep learning nlp cloud mlops tensorflow pytorch architect and deploy scalable ai models optimize deep learning and nlp pipelines integrate ai solutions with cloud platforms lead ai projects ai engineer experienced
AI011,ai engineer experienced,Senior-Level,0.0,python java c r deep learning nlp computer vision generative ai llms tensorflow pytorch scikit learn hugging face transformers onnx aws gcp azure ci cd mlops spark hadoop docker kubernetes model monitoring shap lime,design implement and deploy advanced ai solutions lead teams ensure cloud integration manage mlops pipelines,ai ml senior level deep learning nlp cloud mlops,python java c r deep learning nlp computer vision generative ai llms tensorflow pytorch scikit learn hugging face transformers onnx aws gcp azure ci cd mlops spark hadoop docker kubernetes model monitoring shap lime ai ml senior level deep learning nlp cloud mlops design implement and deploy advanced ai solutions lead teams ensure cloud integration manage mlops pipelines ai engineer experienced
AI012,ai engineer experienced,Senior-Level,0.0,python java c r deep learning nlp computer vision reinforcement learning llms tensorflow pytorch keras scikit learn hugging face transformers aws gcp azure ci cd docker kubernetes spark hadoop shap lime,lead ai engineering projects deploy scalable deep learning models manage cloud based ai platforms mentor junior ai engineers,ai ml senior level deep learning nlp cloud mlops,python java c r deep learning nlp computer vision reinforcement learning llms tensorflow pytorch keras scikit learn hugging face transformers aws gcp azure ci cd docker kubernetes spark hadoop shap lime ai ml senior level deep learning nlp cloud mlops lead ai engineering projects deploy scalable deep learning models manage cloud based ai platforms mentor junior ai engineers ai engineer experienced
AI013,ai engineer experienced,Senior-Level,0.0,python java c r deep learning nlp computer vision llms reinforcement learning tensorflow pytorch scikit learn hugging face onnx aws gcp azure ci cd docker kubernetes spark hadoop shap lime,architect ai ml pipelines integrate models with cloud platforms optimize nlp and computer vision solutions lead cross functional ai teams,ai ml senior level deep learning nlp cloud mlops,python java c r deep learning nlp computer vision llms reinforcement learning tensorflow pytorch scikit learn hugging face onnx aws gcp azure ci cd docker kubernetes spark hadoop shap lime ai ml senior level deep learning nlp cloud mlops architect ai ml pipelines integrate models with cloud platforms optimize nlp and computer vision solutions lead cross functional ai teams ai engineer experienced
AI014,ai engineer experienced,Senior-Level,0.0,python java c r deep learning nlp computer vision generative ai llms tensorflow pytorch keras scikit learn hugging face onnx aws gcp azure docker kubernetes ci cd hadoop spark shap lime,design and deploy production grade ai solutions manage ai cloud platforms lead ai engineering teams implement mlops practices ensure model explainability,ai ml senior level deep learning nlp cloud mlops,python java c r deep learning nlp computer vision generative ai llms tensorflow pytorch keras scikit learn hugging face onnx aws gcp azure docker kubernetes ci cd hadoop spark shap lime ai ml senior level deep learning nlp cloud mlops design and deploy production grade ai solutions manage ai cloud platforms lead ai engineering teams implement mlops practices ensure model explainability ai engineer experienced
AI015,ai engineer experienced,Senior-Level,0.0,python java c r deep learning nlp computer vision reinforcement learning llms tensorflow pytorch keras scikit learn hugging face aws gcp azure docker kubernetes ci cd spark hadoop shap lime,lead ai ml projects implement scalable deep learning and nlp pipelines deploy models in cloud environments mentor junior engineers,ai ml senior level deep learning nlp cloud mlops,python java c r deep learning nlp computer vision reinforcement learning llms tensorflow pytorch keras scikit learn hugging face aws gcp azure docker kubernetes ci cd spark hadoop shap lime ai ml senior level deep learning nlp cloud mlops lead ai ml projects implement scalable deep learning and nlp pipelines deploy models in cloud environments mentor junior engineers ai engineer experienced
AI016,ai engineer experienced,Senior-Level,0.0,python java c r deep learning nlp computer vision generative ai llms tensorflow pytorch keras scikit learn hugging face onnx aws gcp azure docker kubernetes ci cd hadoop spark shap lime,architect ai pipelines optimize deep learning and nlp solutions manage cloud ai infrastructure lead cross functional ai teams,ai ml senior level deep learning nlp cloud mlops,python java c r deep learning nlp computer vision generative ai llms tensorflow pytorch keras scikit learn hugging face onnx aws gcp azure docker kubernetes ci cd hadoop spark shap lime ai ml senior level deep learning nlp cloud mlops architect ai pipelines optimize deep learning and nlp solutions manage cloud ai infrastructure lead cross functional ai teams ai engineer experienced
AI017,nan,Senior-Level,0.0,python java c r deep learning nlp computer vision reinforcement learning llms tensorflow pytorch keras scikit learn hugging face aws gcp azure docker kubernetes ci cd spark hadoop shap lime,lead complex ai and ml projects develop scalable deep learning and nlp pipelines manage cloud ai infrastructure mentor junior engineers,ai ml senior level deep learning nlp cloud mlops,python java c r deep learning nlp computer vision reinforcement learning llms tensorflow pytorch keras scikit learn hugging face aws gcp azure docker kubernetes ci cd spark hadoop shap lime ai ml senior level deep learning nlp cloud mlops lead complex ai and ml projects develop scalable deep learning and nlp pipelines manage cloud ai infrastructure mentor junior engineers nan
AI018,ai engineer experienced,Senior-Level,0.0,python java c r deep learning nlp computer vision llms reinforcement learning tensorflow pytorch keras scikit learn hugging face aws gcp azure docker kubernetes ci cd spark hadoop shap lime,lead ai ml initiatives deploy advanced deep learning models optimize pipelines mentor and guide ai teams,ai ml senior level deep learning nlp cloud mlops,python java c r deep learning nlp computer vision llms reinforcement learning tensorflow pytorch keras scikit learn hugging face aws gcp azure docker kubernetes ci cd spark hadoop shap lime ai ml senior level deep learning nlp cloud mlops lead ai ml initiatives deploy advanced deep learning models optimize pipelines mentor and guide ai teams ai engineer experienced
AI019,ai engineer experienced,Senior-Level,0.0,python java c r deep learning nlp computer vision generative ai llms tensorflow pytorch keras scikit learn hugging face onnx aws gcp azure docker kubernetes ci cd spark hadoop shap lime,manage large scale ai projects implement predictive analytics solutions optimize ml ai pipelines provide strategic business insights,ai ml senior level deep learning nlp cloud mlops,python java c r deep learning nlp computer vision generative ai llms tensorflow pytorch keras scikit learn hugging face onnx aws gcp azure docker kubernetes ci cd spark hadoop shap lime ai ml senior level deep learning nlp cloud mlops manage large scale ai projects implement predictive analytics solutions optimize ml ai pipelines provide strategic business insights ai engineer experienced
AI020,ai engineer experienced,Senior-Level,0.0,python java c r deep learning nlp computer vision reinforcement learning llms tensorflow pytorch keras scikit learn hugging face onnx aws gcp azure docker kubernetes ci cd spark hadoop shap lime,lead ai ml projects deploy and scale deep learning and nlp models optimize cloud pipelines mentor junior ai engineers and lead teams,ai ml senior level deep learning nlp cloud mlops,python java c r deep learning nlp computer vision reinforcement learning llms tensorflow pytorch keras scikit learn hugging face onnx aws gcp azure docker kubernetes ci cd spark hadoop shap lime ai ml senior level deep learning nlp cloud mlops lead ai ml projects deploy and scale deep learning and nlp models optimize cloud pipelines mentor junior ai engineers and lead teams ai engineer experienced
AI-F-001,ai prompt engineer,Fresher,0.0,python basics javascript basics intro to nlp hugging face transformers basics spacy basics nltk basics prompt writing fundamentals openai gpt models intro tensorflow basics pytorch basics critical thinking communication collaboration creativity,assist in designing prompts for ai models test and evaluate prompt effectiveness collaborate with ai data science teams document prompt experiments support ai model integration tasks,prompt engineering nlp python tensorflow pytorch ai model optimization hugging face gpt data analysis,python basics javascript basics intro to nlp hugging face transformers basics spacy basics nltk basics prompt writing fundamentals openai gpt models intro tensorflow basics pytorch basics critical thinking communication collaboration creativity prompt engineering nlp python tensorflow pytorch ai model optimization hugging face gpt data analysis assist in designing prompts for ai models test and evaluate prompt effectiveness collaborate with ai data science teams document prompt experiments support ai model integration tasks ai prompt engineer
AI-F-002,ai prompt engineer,Fresher,0.0,python basics javascript basics intro to nlp hugging face basics spacy basics nltk basics prompt writing gpt model exposure tensorflow basics pytorch basics problem solving communication teamwork creativity,write and test basic prompts for ai models assist in nlp related tasks collaborate with data science teams document prompt testing results support ai platform integration learn ai model evaluation techniques,prompt engineering nlp python tensorflow pytorch hugging face gpt ai model optimization,python basics javascript basics intro to nlp hugging face basics spacy basics nltk basics prompt writing gpt model exposure tensorflow basics pytorch basics problem solving communication teamwork creativity prompt engineering nlp python tensorflow pytorch hugging face gpt ai model optimization write and test basic prompts for ai models assist in nlp related tasks collaborate with data science teams document prompt testing results support ai platform integration learn ai model evaluation techniques ai prompt engineer
AI-F-003,ai prompt engineer,Fresher,0.0,python basics javascript basics intro to nlp hugging face basics spacy basics nltk basics prompt writing fundamentals openai gpt models exposure tensorflow basics pytorch basics critical thinking communication collaboration creativity,assist in prompt design for ai models evaluate prompt outcomes support ai data science team tasks document experiments learn nlp libraries assist in integration of prompts into ai applications,prompt engineering nlp python tensorflow pytorch hugging face gpt data analysis,python basics javascript basics intro to nlp hugging face basics spacy basics nltk basics prompt writing fundamentals openai gpt models exposure tensorflow basics pytorch basics critical thinking communication collaboration creativity prompt engineering nlp python tensorflow pytorch hugging face gpt data analysis assist in prompt design for ai models evaluate prompt outcomes support ai data science team tasks document experiments learn nlp libraries assist in integration of prompts into ai applications ai prompt engineer
AI-F-004,ai prompt engineer,Fresher,0.0,python basics javascript basics nlp introduction hugging face basics spacy basics nltk basics prompt writing fundamentals gpt models intro tensorflow basics pytorch basics collaboration creativity problem solving communication,write and test ai prompts support nlp tasks collaborate with ai data science teams document prompt testing results assist with ai model integration learn and apply ai frameworks,prompt engineering nlp python tensorflow pytorch hugging face gpt data analysis,python basics javascript basics nlp introduction hugging face basics spacy basics nltk basics prompt writing fundamentals gpt models intro tensorflow basics pytorch basics collaboration creativity problem solving communication prompt engineering nlp python tensorflow pytorch hugging face gpt data analysis write and test ai prompts support nlp tasks collaborate with ai data science teams document prompt testing results assist with ai model integration learn and apply ai frameworks ai prompt engineer
AI-F-005,ai prompt engineer,Fresher,0.0,python basics javascript basics intro to nlp hugging face basics spacy basics nltk basics prompt writing openai gpt model basics tensorflow basics pytorch basics critical thinking communication teamwork creativity,assist in prompt development for ai models test prompt performance collaborate with ai data science teams document experiments support ai integration projects learn prompt optimization techniques,prompt engineering nlp python tensorflow pytorch hugging face gpt ai model optimization,python basics javascript basics intro to nlp hugging face basics spacy basics nltk basics prompt writing openai gpt model basics tensorflow basics pytorch basics critical thinking communication teamwork creativity prompt engineering nlp python tensorflow pytorch hugging face gpt ai model optimization assist in prompt development for ai models test prompt performance collaborate with ai data science teams document experiments support ai integration projects learn prompt optimization techniques ai prompt engineer
AI-F-006,ai prompt engineer,Fresher,0.0,python basics javascript basics introductory nlp hugging face basics spacy basics nltk basics prompt writing fundamentals gpt model exposure tensorflow basics pytorch basics problem solving communication teamwork creativity,write and refine prompts for ai models support nlp and data analysis tasks collaborate with ai data teams document prompt results and learnings assist in ai model evaluation and integration,prompt engineering nlp python tensorflow pytorch hugging face gpt ai model optimization,python basics javascript basics introductory nlp hugging face basics spacy basics nltk basics prompt writing fundamentals gpt model exposure tensorflow basics pytorch basics problem solving communication teamwork creativity prompt engineering nlp python tensorflow pytorch hugging face gpt ai model optimization write and refine prompts for ai models support nlp and data analysis tasks collaborate with ai data teams document prompt results and learnings assist in ai model evaluation and integration ai prompt engineer
AI-F-007,ai prompt engineer,Fresher,0.0,python basics javascript basics intro nlp hugging face basics spacy basics nltk basics prompt writing openai gpt intro tensorflow basics pytorch basics communication teamwork problem solving creativity,assist in prompt creation for ai models test prompt performance collaborate with ai data teams document experiments support ai model integration and evaluation,prompt engineering nlp python tensorflow pytorch hugging face gpt data analysis,python basics javascript basics intro nlp hugging face basics spacy basics nltk basics prompt writing openai gpt intro tensorflow basics pytorch basics communication teamwork problem solving creativity prompt engineering nlp python tensorflow pytorch hugging face gpt data analysis assist in prompt creation for ai models test prompt performance collaborate with ai data teams document experiments support ai model integration and evaluation ai prompt engineer
AI-F-008,ai prompt engineer,Fresher,0.0,python basics javascript basics nlp basics hugging face basics spacy basics nltk basics prompt writing fundamentals gpt models intro tensorflow basics pytorch basics critical thinking collaboration communication creativity,write and test ai prompts assist nlp related tasks collaborate with ai data teams document prompt results support ai model evaluation and integration,prompt engineering nlp python tensorflow pytorch hugging face gpt ai model optimization,python basics javascript basics nlp basics hugging face basics spacy basics nltk basics prompt writing fundamentals gpt models intro tensorflow basics pytorch basics critical thinking collaboration communication creativity prompt engineering nlp python tensorflow pytorch hugging face gpt ai model optimization write and test ai prompts assist nlp related tasks collaborate with ai data teams document prompt results support ai model evaluation and integration ai prompt engineer
AI-F-009,ai prompt engineer,Fresher,0.0,python basics javascript basics intro to nlp hugging face basics spacy basics nltk basics prompt writing openai gpt basics tensorflow basics pytorch basics problem solving communication teamwork creativity,assist in prompt design and testing collaborate with ai data science teams document prompt experiments learn prompt optimization techniques support ai integration projects,prompt engineering nlp python tensorflow pytorch hugging face gpt data analysis,python basics javascript basics intro to nlp hugging face basics spacy basics nltk basics prompt writing openai gpt basics tensorflow basics pytorch basics problem solving communication teamwork creativity prompt engineering nlp python tensorflow pytorch hugging face gpt data analysis assist in prompt design and testing collaborate with ai data science teams document prompt experiments learn prompt optimization techniques support ai integration projects ai prompt engineer
AI-F-010,ai prompt engineer,Fresher,0.0,python basics javascript basics nlp basics hugging face basics spacy basics nltk basics prompt writing fundamentals gpt models intro tensorflow basics pytorch basics critical thinking collaboration creativity communication,assist in ai prompt creation and testing support nlp tasks collaborate with ai data science teams document prompt outcomes help integrate prompts with ai models,prompt engineering nlp python tensorflow pytorch hugging face gpt ai model optimization,python basics javascript basics nlp basics hugging face basics spacy basics nltk basics prompt writing fundamentals gpt models intro tensorflow basics pytorch basics critical thinking collaboration creativity communication prompt engineering nlp python tensorflow pytorch hugging face gpt ai model optimization assist in ai prompt creation and testing support nlp tasks collaborate with ai data science teams document prompt outcomes help integrate prompts with ai models ai prompt engineer
AI-E-011,ai prompt engineer,Experienced,0.0,advanced python javascript advanced deep nlp expertise hugging face transformers tensorflow pytorch advanced prompt design chain of thought iterative optimization openai api azure cognitive services machine learning for prompt tuning data analysis collaboration problem solving leadership creativity,design and optimize prompts for llms apply advanced nlp techniques for prompt tuning collaborate with ai and data science teams implement ai model evaluation metrics develop prompt optimization strategies lead prompt related projects mentor junior prompt engineers,prompt optimization llm machine learning nlp python ai frameworks api integration ai ethics model fine tuning,advanced python javascript advanced deep nlp expertise hugging face transformers tensorflow pytorch advanced prompt design chain of thought iterative optimization openai api azure cognitive services machine learning for prompt tuning data analysis collaboration problem solving leadership creativity prompt optimization llm machine learning nlp python ai frameworks api integration ai ethics model fine tuning design and optimize prompts for llms apply advanced nlp techniques for prompt tuning collaborate with ai and data science teams implement ai model evaluation metrics develop prompt optimization strategies lead prompt related projects mentor junior prompt engineers ai prompt engineer
